iter	Logloss
0	0.559730534
1	0.4947585282
2	0.4604422661
3	0.4416896587
4	0.4324755899
5	0.4214057146
6	0.4142827301
7	0.4099000732
8	0.4065521608
9	0.404442825
10	0.4022172306
11	0.4008080921
12	0.3996448989
13	0.3989754162
14	0.3974435389
15	0.3958710108
16	0.3953185373
17	0.3952749067
18	0.3942112127
19	0.3939680115
20	0.3934295661
21	0.3920074126
22	0.3910128069
23	0.3901535569
24	0.3894673856
25	0.3885218592
26	0.3885146823
27	0.3881772549
28	0.387272085
29	0.3871780088
30	0.3870070509
31	0.3861906139
32	0.3858362683
33	0.3846527302
34	0.3845460068
35	0.383289515
36	0.3816278827
37	0.3813353547
38	0.3804608418
39	0.3802322734
40	0.3793989451
41	0.3786353651
42	0.3774809258
43	0.3771490554
44	0.3766909226
45	0.3755017956
46	0.3741191802
47	0.3735935224
48	0.3719251892
49	0.3715693632
50	0.3710628028
51	0.3696925294
52	0.3694630604
53	0.3687043633
54	0.3679513103
55	0.367337466
56	0.3670948437
57	0.3666199942
58	0.3652776785
59	0.3649035357
60	0.3637003675
61	0.362687864
62	0.362122988
63	0.3614404011
64	0.3608269647
65	0.3604104601
66	0.359448253
67	0.3580916389
68	0.3567906198
69	0.3555676976
70	0.3547227641
71	0.354094651
72	0.3534833973
73	0.3523305333
74	0.351680529
75	0.3507995924
76	0.3500867998
77	0.3494115793
78	0.3492062732
79	0.3490019419
80	0.3484864796
81	0.3472092746
82	0.3467984914
83	0.3464458844
84	0.3460654968
85	0.3457002665
86	0.3454944911
87	0.3452172236
88	0.3451739785
89	0.3440530458
90	0.3433582347
91	0.3429373812
92	0.3426669999
93	0.3425274884
94	0.341758491
95	0.341496985
96	0.3404818414
97	0.3396870061
98	0.3386418519
99	0.3383971311
100	0.3380261179
101	0.3370280563
102	0.3362408015
103	0.3356016348
104	0.3345347924
105	0.3338430208
106	0.3334949175
107	0.333258689
108	0.332154365
109	0.3318008804
110	0.3314299146
111	0.3309434847
112	0.3307927998
113	0.3303234182
114	0.3301184597
115	0.3297707197
116	0.3286498402
117	0.3283427809
118	0.3273551777
119	0.32697458
120	0.3269062455
121	0.3255752081
122	0.32521481
123	0.3247322642
124	0.3240509714
125	0.3238249809
126	0.323453538
127	0.3225512677
128	0.3215950709
129	0.320926026
130	0.3205716843
131	0.3192766421
132	0.3188451805
133	0.3181662219
134	0.3170488069
135	0.316469187
136	0.3160961316
137	0.315530228
138	0.315233696
139	0.3143912492
140	0.3135243538
141	0.3133147122
142	0.3123317538
143	0.3110272512
144	0.3107744217
145	0.3098090152
146	0.3089768996
147	0.3083355856
148	0.3081965941
149	0.3072373387
150	0.3068458888
151	0.3065984631
152	0.3063301887
153	0.3053304002
154	0.3047725265
155	0.3044619817
156	0.3037485991
157	0.303208332
158	0.3025138555
159	0.3020912099
160	0.3014806496
161	0.3004592172
162	0.3001444947
163	0.2997719846
164	0.2989704859
165	0.2981723984
166	0.2977593695
167	0.2973469098
168	0.2970574592
169	0.2967454847
170	0.2963704731
171	0.2962178355
172	0.29543063
173	0.2949228057
174	0.2945263454
175	0.2943835973
176	0.2933715577
177	0.2929689388
178	0.2926035629
179	0.2921019804
180	0.2911850452
181	0.2910148624
182	0.2906944045
183	0.2903664553
184	0.2897244909
185	0.2890707081
186	0.2886876661
187	0.2880916014
188	0.2876209397
189	0.28751625
190	0.2872823357
191	0.2869637414
192	0.2862935868
193	0.2858813737
194	0.2852256962
195	0.2849746164
196	0.2839944187
197	0.2836948742
198	0.2831289299
199	0.2825312418
