iter	Passed	Remaining
0	185	36942
1	257	25500
2	303	19948
3	350	17160
4	392	15304
5	433	14026
6	502	13861
7	544	13059
8	586	12452
9	626	11906
10	665	11434
11	724	11350
12	766	11026
13	806	10716
14	845	10421
15	893	10276
16	974	10490
17	991	10028
18	1032	9837
19	1072	9648
20	1120	9546
21	1161	9398
22	1201	9246
23	1261	9248
24	1307	9152
25	1359	9095
26	1375	8812
27	1416	8701
28	1456	8590
29	1479	8384
30	1526	8322
31	1577	8280
32	1618	8191
33	1660	8106
34	1693	7981
35	1751	7976
36	1791	7893
37	1833	7817
38	1889	7802
39	1928	7712
40	1984	7696
41	2034	7654
42	2091	7634
43	2145	7606
44	2193	7554
45	2240	7500
46	2281	7427
47	2322	7354
48	2379	7332
49	2420	7260
50	2460	7189
51	2518	7167
52	2561	7105
53	2599	7028
54	2638	6956
55	2684	6902
56	2738	6871
57	2779	6805
58	2817	6732
59	2868	6692
60	2908	6627
61	2951	6569
62	2991	6505
63	3030	6438
64	3069	6374
65	3116	6327
66	3168	6288
67	3207	6226
68	3261	6191
69	3306	6140
70	3350	6087
71	3390	6026
72	3430	5968
73	3470	5908
74	3508	5848
75	3547	5787
76	3600	5752
77	3642	5697
78	3682	5639
79	3736	5605
80	3776	5547
81	3818	5494
82	3864	5447
83	3911	5401
84	3950	5344
85	4005	5309
86	4051	5262
87	4093	5209
88	4162	5191
89	4199	5132
90	4240	5079
91	4322	5074
92	4370	5028
93	4417	4981
94	4458	4928
95	4512	4888
96	4563	4845
97	4604	4792
98	4655	4749
99	4700	4700
100	4756	4662
101	4813	4624
102	4852	4570
103	4905	4528
104	4943	4472
105	5015	4447
106	5061	4399
107	5112	4355
108	5153	4302
109	5192	4248
110	5237	4199
111	5285	4153
112	5326	4100
113	5365	4047
114	5409	3998
115	5450	3946
116	5489	3894
117	5528	3842
118	5583	3800
119	5631	3754
120	5676	3706
121	5715	3654
122	5753	3601
123	5792	3550
124	5838	3503
125	5886	3456
126	5938	3413
127	5981	3364
128	6028	3318
129	6067	3267
130	6109	3218
131	6151	3169
132	6222	3134
133	6273	3089
134	6333	3049
135	6379	3002
136	6439	2961
137	6491	2916
138	6533	2867
139	6575	2817
140	6632	2775
141	6678	2728
142	6725	2680
143	6772	2633
144	6822	2587
145	6862	2538
146	6903	2488
147	6941	2438
148	6982	2390
149	7026	2342
150	7067	2293
151	7106	2244
152	7153	2197
153	7193	2148
154	7255	2106
155	7294	2057
156	7343	2011
157	7391	1964
158	7439	1918
159	7486	1871
160	7525	1823
161	7598	1782
162	7639	1734
163	7680	1685
164	7725	1638
165	7801	1597
166	7852	1551
167	7891	1503
168	7932	1455
169	7982	1408
170	8026	1361
171	8069	1313
172	8120	1267
173	8165	1220
174	8203	1171
175	8243	1124
176	8283	1076
177	8328	1029
178	8368	981
179	8409	934
180	8449	886
181	8499	840
182	8549	794
183	8612	748
184	8658	702
185	8698	654
186	8740	607
187	8779	560
188	8834	514
189	8873	467
190	8912	419
191	8950	372
192	8991	326
193	9029	279
194	9068	232
195	9107	185
196	9149	139
197	9214	93
198	9253	46
199	9295	0
